"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\inbox_screen.dart", "Dart", 97, 0, 7, 104
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\main.dart", "Dart", 17, 0, 4, 21
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\main_screen.dart", "Dart", 178, 0, 10, 188
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\profile_screen.dart", "Dart", 241, 0, 10, 251
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\search_screen.dart", "Dart", 97, 0, 7, 104
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\settings_screen.dart", "Dart", 290, 0, 10, 300
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\widgets\add_button.dart", "Dart", 50, 0, 6, 56
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\widgets\auth_gate.dart", "Dart", 28, 0, 3, 31
"c:\Users\Makineta\Documents\GitHub\Project-E-Mate\emate\lib\widgets\clickable_icon.dart", "Dart", 29, 0, 4, 33
"Total", "-", 1027, 0, 61, 1088
